recipe_name,ingredient_name,quantity,unit,is_optional
김치찌개,배추김치,1,컵,false
김치찌개,돼지고기 삼겹살,200,g,false
김치찌개,두부,0.5,모,false
김치찌개,대파,1,대,false
김치찌개,마늘 다진것,1,큰술,false
김치찌개,고춧가루,1,큰술,false
김치찌개,국간장,1,큰술,false
김치찌개,식용유,1,큰술,false
김치찌개,청양고추,1,개,true
김치찌개,양파,0.5,개,true
된장찌개,된장,2,큰술,false
된장찌개,두부,0.5,모,false
된장찌개,애호박,0.5,개,false
된장찌개,양파,0.5,개,false
된장찌개,대파,1,대,false
된장찌개,마늘 다진것,1,큰술,false
된장찌개,멸치,10,g,false
된장찌개,청양고추,1,개,true
된장찌개,감자,0.5,개,true
순두부찌개,순두부,1,팩,false
순두부찌개,새우,5,개,false
순두부찌개,계란,1,개,false
순두부찌개,양파,0.5,개,false
순두부찌개,대파,1,대,false
순두부찌개,마늘 다진것,1,큰술,false
순두부찌개,고춧가루,1,큰술,false
순두부찌개,참기름,1,작은술,false
순두부찌개,청양고추,1,개,true
순두부찌개,조개,5,개,true
부대찌개,햄,100,g,false
부대찌개,스팸,100,g,false
부대찌개,소시지,3,개,false
부대찌개,배추김치,1,컵,false
부대찌개,두부,0.5,모,false
부대찌개,양파,0.5,개,false
부대찌개,대파,1,대,false
부대찌개,라면,1,개,false
부대찌개,고춧가루,1,큰술,false
부대찌개,마늘 다진것,1,큰술,false
부대찌개,모짜렐라 치즈,30,g,true
계란말이,계란,4,개,false
계란말이,대파,0.5,대,false
계란말이,당근,0.25,개,false
계란말이,소금,1,꼬집,false
계란말이,식용유,1,큰술,false
계란말이,쪽파,0.5,대,true
계란찜,계란,3,개,false
계란찜,새우,5,개,false
계란찜,쪽파,1,대,false
계란찜,소금,1,꼬집,false
계란찜,참기름,1,작은술,true
김치볶음밥,쌀,2,공기,false
김치볶음밥,배추김치,1,컵,false
김치볶음밥,계란,1,개,false
김치볶음밥,마늘 다진것,1,큰술,false
김치볶음밥,식용유,1,큰술,false
김치볶음밥,참기름,1,작은술,false
김치볶음밥,대파,1,대,true
김치볶음밥,맛김,1,장,true
