name,description,cook_minutes,difficulty,servings,instructions_md
김치찌개,"돼지고기와 묵은지로 끓인 국민 찌개",35,medium,2,"1. 돼지고기 삼겹살을 한입 크기로 썬다.\n2. 냄비에 식용유를 두르고 고기를 볶는다.\n3. 배추김치를 넣고 함께 볶다가 물을 붓는다.\n4. 끓으면 두부와 대파를 넣고 5분 더 끓인다.\n5. 국간장과 고춧가루로 간을 맞춘다."
된장찌개,"호박과 두부가 들어간 구수한 된장찌개",35,medium,2,"1. 멸치로 육수를 낸다.\n2. 된장을 풀고 끓인다.\n3. 애호박, 양파, 두부를 넣는다.\n4. 청양고추와 대파를 넣고 마무리한다."
순두부찌개,"얼큰한 해물 순두부찌개",35,medium,2,"1. 냄비에 참기름을 두르고 다진 마늘과 고춧가루를 볶는다.\n2. 양파와 새우를 넣고 볶는다.\n3. 물을 붓고 순두부를 떠 넣는다.\n4. 계란을 풀고 대파를 올려 마무리한다."
부대찌개,"햄과 소시지가 들어간 푸짐한 찌개",40,medium,3,"1. 냄비에 김치, 햄, 스팸, 소시지를 보기 좋게 담는다.\n2. 두부와 양파, 대파를 올린다.\n3. 고춧가루와 다진 마늘을 양념해 올린다.\n4. 물을 붓고 끓이다가 라면을 넣어 마무리한다."
계란말이,"부드럽고 폭신한 기본 계란말이",10,easy,2,"1. 계란 4개를 풀고 소금으로 간한다.\n2. 다진 대파와 당근을 넣는다.\n3. 팬에 식용유를 두르고 약불에서 부친다.\n4. 한쪽 끝부터 돌돌 말아준다."
계란찜,"부드러운 한식 계란찜",15,easy,2,"1. 계란 3개를 풀어 새우 육수와 섞는다.\n2. 소금으로 간하고 체에 거른다.\n3. 뚝배기에 붓고 약불에서 끓인다.\n4. 쪽파를 올려 마무리한다."
김치볶음밥,"남은 김치로 만드는 든든한 한 끼",15,easy,2,"1. 팬에 식용유를 두르고 다진 마늘을 볶는다.\n2. 김치를 잘게 썰어 볶는다.\n3. 밥을 넣고 함께 볶는다.\n4. 계란 후라이를 올린다."
제육볶음,"매콤달콤 돼지고기 볶음",35,medium,2,"1. 돼지고기 목살을 한입 크기로 썬다.\n2. 고추장, 간장, 설탕, 다진 마늘로 양념한다.\n3. 양파와 대파를 함께 볶는다.\n4. 참기름과 깨를 뿌려 완성한다."
불고기,"달콤한 양념의 소불고기",40,medium,3,"1. 소고기 등심을 얇게 썬다.\n2. 간장, 설탕, 다진 마늘로 양념한다.\n3. 양파와 당근을 함께 재운다.\n4. 팬에 볶아 완성한다."
닭볶음탕,"매콤한 닭다리 조림",60,hard,3,"1. 닭다리를 데친다.\n2. 감자, 당근, 양파를 큼직하게 썬다.\n3. 고추장, 간장, 설탕으로 양념을 만든다.\n4. 모든 재료를 넣고 자작하게 끓인다."
삼겹살구이,"기본 삼겹살 구이와 쌈장",15,easy,2,"1. 돼지고기 삼겹살을 도톰하게 썬다.\n2. 팬을 달구고 기름 없이 굽는다.\n3. 마늘과 고추를 함께 굽는다.\n4. 상추와 깻잎에 쌈장과 함께 싸 먹는다."
고등어구이,"바삭하게 구운 고등어",35,medium,2,"1. 고등어를 깨끗이 씻어 물기를 제거한다.\n2. 소금을 뿌려 10분 둔다.\n3. 팬에 식용유를 두르고 노릇하게 굽는다.\n4. 레몬을 곁들인다."
미역국,"부드러운 소고기 미역국",40,medium,3,"1. 미역을 물에 30분 불린다.\n2. 소고기 양지를 잘게 썰어 참기름에 볶는다.\n3. 미역을 넣고 함께 볶는다.\n4. 물과 국간장을 넣고 30분 끓인다."
콩나물국,"시원한 콩나물국",15,easy,2,"1. 콩나물을 깨끗이 씻는다.\n2. 멸치 육수에 콩나물을 넣고 끓인다.\n3. 다진 마늘을 넣는다.\n4. 국간장과 대파로 마무리한다."
오징어볶음,"매콤한 오징어 채소 볶음",35,medium,2,"1. 오징어를 손질해 한입 크기로 썬다.\n2. 고추장, 고춧가루, 간장으로 양념한다.\n3. 양파와 양배추를 함께 볶는다.\n4. 청양고추와 대파를 넣고 마무리한다."
잡채,"채소와 당면이 어우러진 잔치 음식",50,medium,4,"1. 소면을 삶아 참기름에 무친다.\n2. 시금치, 당근, 양파, 표고 버섯을 따로 볶는다.\n3. 소고기 등심을 양념해 볶는다.\n4. 모든 재료를 간장, 설탕으로 무친다."
계란국,"맑고 시원한 계란국",10,easy,2,"1. 멸치 육수를 끓인다.\n2. 계란을 풀어 천천히 두른다.\n3. 국간장으로 간한다.\n4. 대파와 후추로 마무리한다."
북엇국,"숙취 해소 북엇국",20,easy,2,"1. 명태를 물에 살짝 적신다.\n2. 참기름에 볶다가 물을 붓는다.\n3. 무를 넣고 끓인다.\n4. 계란을 풀어 넣고 대파로 마무리한다."
간장계란밥,"간단한 한 끼 간장계란밥",10,easy,1,"1. 따뜻한 밥에 계란 후라이를 올린다.\n2. 간장과 참기름을 두른다.\n3. 맛김을 부수어 뿌린다.\n4. 비벼 먹는다."
콩나물밥,"양념장에 비벼먹는 콩나물밥",40,medium,3,"1. 쌀을 씻어 솥에 안친다.\n2. 콩나물을 위에 깔고 밥을 짓는다.\n3. 간장, 다진 마늘, 고춧가루로 양념장을 만든다.\n4. 밥에 양념장을 비벼 먹는다."
달걀장조림,"감칠맛 나는 달걀장조림",40,medium,3,"1. 계란을 삶아 껍질을 벗긴다.\n2. 간장, 설탕, 물로 양념을 만든다.\n3. 청양고추와 마늘을 넣는다.\n4. 약불에서 조린다."
감자조림,"달콤짭짤한 감자조림",35,medium,3,"1. 감자를 깍둑썰어 데친다.\n2. 팬에 식용유를 두르고 감자를 볶는다.\n3. 진간장, 설탕, 물을 넣고 조린다.\n4. 참기름을 두른다."
감자볶음,"부드러운 감자 채소볶음",15,easy,2,"1. 감자를 채 썬다.\n2. 양파와 당근도 채 썬다.\n3. 팬에 식용유를 두르고 볶는다.\n4. 소금과 후추로 간한다."
오이무침,"새콤달콤 오이무침",10,easy,2,"1. 오이를 어슷썬다.\n2. 소금에 살짝 절인다.\n3. 고춧가루, 설탕, 식초, 다진 마늘로 양념한다.\n4. 참기름을 두른다."
시금치나물,"기본 시금치 나물",10,easy,2,"1. 시금치를 끓는 물에 살짝 데친다.\n2. 찬물에 헹구고 물기를 짠다.\n3. 국간장, 다진 마늘, 참기름으로 무친다.\n4. 깨를 뿌린다."
콩나물무침,"아삭한 콩나물무침",10,easy,2,"1. 콩나물을 데친다.\n2. 찬물에 헹구고 물기를 뺀다.\n3. 국간장, 다진 마늘, 참기름으로 무친다.\n4. 고춧가루를 뿌린다."
